pathway,from_region,to_region,from_country,to_country,max_flow,max_counter_flow,voltage,distance,year_planned,source_1,source_2,assumptions,other_notes
TRNALBXXGRCXX,ALBXX,GRCXX,ALB,GRC,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNALBXXKOSXX,ALBXX,KOSXX,ALB,KOS,0,0,110,33,2026,https://www.ero-ks.org/zrre/sites/default/files/Lajmet/njoftimet/221118_KOSTT_Transmission%20Development%20Plan%202023-2032_ver.0.1.pdf,-,Assumption that max historical hourly flow between 2021-2023 is representative for directional transmission capacity. Planned capacity only reported in kV terms but not in capacities (MW) hence not included.,This approach is used more often to derive capacities for lines outside the direct ENTSOE zones. See e.g. http://www.diva-portal.org/smash/get/diva2:1476768/FULLTEXT01.pdf
TRNALBXXKOSXX,ALBXX,KOSXX,ALB,KOS,0,0,400,26,2032,https://www.ero-ks.org/zrre/sites/default/files/Lajmet/njoftimet/221118_KOSTT_Transmission%20Development%20Plan%202023-2032_ver.0.1.pdf,-,Planned capacity is only reported in kV terms but not in capacities (MW) hence not included.,-
TRNALBXXMKDXX,ALBXX,MKDXX,ALB,MKD,500,500,-,-,2030,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNALBXXMNEXX,ALBXX,MNEXX,ALB,MNE,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNALBXXSRBXX,ALBXX,SRBXX,ALB,SRB,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAREXXINDWE,AREXX,INDWE,ARE,IND,0,0,-,-,-,https://www.siasat.com/india-planning-power-grid-with-saudi-arabia-uae-via-undersea-cable-2576846/,-,-,"No capacity as of yet, but a subsea transmission line is being considered between both countries as part of the One Sun, One World, One Grid initiative."
TRNAREXXIRNXX,AREXX,IRNXX,ARE,IRN,0,0,-,-,-,https://www.emirates247.com/iran-to-link-up-with-uae-power-grid-2010-09-06-1.288184,-,-,In the past it has been mentioned that there was interest for a subsea interconnection linking Iran with the Emirates but no concrete developments on this can be found.
TRNAREXXOMNXX,AREXX,OMNXX,ARE,OMN,0,0,-,-,-,https://www.zawya.com/en/projects/utilities/omans-power-imports-to-hit-1600-mw-with-second-interconnect-dkrmxp8m,-,-,A new link between Oman and Saudi Arabia is being planned but no mentioning as of now for new links to the Emirates.
TRNAREXXSAUXX,AREXX,SAUXX,ARE,SAU,0,0,-,-,-,https://reglobal.org/saudi-arabia-strengthens-transmission-ties-with-neighbours/,-,-,-
TRNARGXXBOLXX,ARGXX,BOLXX,ARG,BOL,0,0,500,-,-,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,-,-,-
TRNARGXXBRASO,ARGXX,BRASO,ARG,BRA,0,0,-,-,-,https://www.nature.com/articles/s41597-023-01992-9,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,-,-
TRNARGXXCHLXX,ARGXX,CHLXX,ARG,CHL,2135,2135,400;500/220;220;220,250;350;175;200,-,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,https://www.sciencedirect.com/science/article/pii/S2211467X22001614,No planned conmpletion years could be found for any of the planned interconnections.,-
TRNARGXXPRYXX,ARGXX,PRYXX,ARG,PRY,270,270,500,-,2026,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,https://link.springer.com/article/10.1007/s12667-020-00420-w,Assumed that all planned connections had the higher planned power and voltage.,-
TRNARGXXPRYXX,ARGXX,PRYXX,ARG,PRY,0,0,500,146,-,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,-,-,"Another planned line between Argentina and Paraguay, but unlike the Ana Cua project this one does not have a confirmed completion year"
TRNARGXXURYXX,ARGXX,URYXX,ARG,URY,0,0,-,-,-,https://www.cier.org/es-uy/Lists/EstadisticasLD/MapaInterconexiones.pdf,-,-,-
TRNARMXXAZEXX,ARMXX,AZEXX,ARM,AZE,0,0,-,-,-,https://iea.blob.core.windows.net/assets/8328cc7c-e65e-4df1-a96f-514fdd0ac31e/Armenia2022EnergyPolicyReview.pdf,-,-,No mentioning of existing or planned interconnections between both countries in the Armenia 2022 Energy Policy Review.
TRNARMXXGEOXX,ARMXX,GEOXX,ARM,GEO,350,350,400,-,2025,https://iea.blob.core.windows.net/assets/8328cc7c-e65e-4df1-a96f-514fdd0ac31e/Armenia2022EnergyPolicyReview.pdf,https://www.eeas.europa.eu/node/11301_en,Assumed power factor of 1 by converting MVA into MW.,There's mentioning of another 1000 MVA of planned capacity 'in later stages' but there doesn't seem to be concrete plans for this as of yet.
TRNARMXXIRNXX,ARMXX,IRNXX,ARM,IRN,850,850,400,-,2025,https://iea.blob.core.windows.net/assets/8328cc7c-e65e-4df1-a96f-514fdd0ac31e/Armenia2022EnergyPolicyReview.pdf,-,Assumed power factor of 1 by converting MVA into MW. The Armenia 2022 Energy Policy Review report by the IEA mentions that MVA is expected to increase from 350 to 1200 by 2025 hence assumed planned capacity is 1200-350 = 850 MVA/MW. ,-
TRNARMXXTURXX,ARMXX,TURXX,ARM,TUR,0,0,-,-,-,https://iea.blob.core.windows.net/assets/8328cc7c-e65e-4df1-a96f-514fdd0ac31e/Armenia2022EnergyPolicyReview.pdf,-,-,No mentioning of existing or planned interconnections between both countires in the Armenia 2022 Energy Policy Review.
TRNAUSNTAUSQL,AUSNT,AUSQL,AUS,AUS,0,0,-,-,-,https://territoryrenewableenergy.nt.gov.au/__data/assets/pdf_file/0011/1056782/darwin-katherine-electricity-system-plan-web.pdf?v=0.1.1,-,-,The Darwin-Katherine energy system plan explicitly states that it is not interconnected with other regional networks in Australia. It does leave open the possibility of interconnections in the future but there are none currently planned.
TRNAUSNTAUSSA,AUSNT,AUSSA,AUS,AUS,0,0,-,-,-,https://territoryrenewableenergy.nt.gov.au/__data/assets/pdf_file/0011/1056782/darwin-katherine-electricity-system-plan-web.pdf?v=0.1.1,-,-,The Darwin-Katherine energy system plan explicitly states that it is not interconnected with other regional networks in Australia. It does leave open the possibility of interconnections in the future but there are none currently planned.
TRNAUSNTAUSWA,AUSNT,AUSWA,AUS,AUS,0,0,-,-,-,https://territoryrenewableenergy.nt.gov.au/__data/assets/pdf_file/0011/1056782/darwin-katherine-electricity-system-plan-web.pdf?v=0.1.1,-,-,The Darwin-Katherine energy system plan explicitly states that it is not interconnected with other regional networks in Australia. It does leave open the possibility of interconnections in the future but there are none currently planned.
TRNAUSQLAUSSA,AUSQL,AUSSA,AUS,AUS,0,0,-,-,-,https://www.tdworld.com/grid-innovations/transmission/article/20971581/transaustralian-hvdc-interconnector,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUSQLAUSSW,AUSQL,AUSSW,AUS,AUS,900,730,330,461,2030,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,For planned capacity it is assumed that 'Option 1' of the identified AEMO transmission expansion options will be realised. A 'Medium' lead time equals 6-7 years post final publication year (2024) hence assumed 2030 as commissioning year.,-
TRNAUSQLPNGXX,AUSQL,PNGXX,AUS,PNG,0,0,-,-,-,https://hir.harvard.edu/electrification-in-papua-new-guinea/,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUSSAAUSSW,AUSSA,AUSSW,AUS,AUS,800,800,330,900,2025,https://www.projectenergyconnect.com.au/,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUSSAAUSVI,AUSSA,AUSVI,AUS,AUS,1640,1640,275;275,240,2031,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,For planned capacity it is assumed that 'Option 1' of the identified AEMO transmission expansion options will be realised. A 'Long' lead time equals 7 years post final publication year (2024) hence assumed 2031 as commissioning year.,-
TRNAUSSAAUSWA,AUSSA,AUSWA,AUS,AUS,0,0,-,-,-,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUSSWAUSVI,AUSSW,AUSVI,AUS,AUS,1669,1935,500;500,438,2029,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,For planned capacity it is assumed that 'Option 1' of the identified AEMO transmission expansion options will be realised.,-
TRNAUSTAAUSVI,AUSTA,AUSVI,AUS,AUS,618,484,-,-,2029,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,"For planned capacity it is assumed that 'Option 1' of the identified AEMO transmission expansion options will be realised. The net additional network capacity is assumed to be the identified transmission limits if this project gets initiated (1212 MW TAS to VIC, 962 MW VIC to TAS) - the existing capacities.",-
TRNAUSWAIDNNU,AUSWA,IDNNU,AUS,IDN,0,0,-,-,-,https://www.internationalaffairs.org.au/australianoutlook/the-cable-connection-australia-and-indonesias-shared-journey-to-net-zero-emissions/,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUSWATLSXX,AUSWA,TLSXX,AUS,TLS,0,0,-,-,-,https://thebpp.com.au/call-for-partnerships/bpp-call-for-off-grid-renewable-energy-partnerships-in-the-pacific-and-timor-leste/,https://aemo.com.au/-/media/files/major-publications/isp/2023/2023-transmission-expansion-options-report.pdf?la=en,-,No 'Anticipated/Committed' or 'Actionable' planned projects in AEMO 2023 Transmission Expansion Options Report.
TRNAUTXXCHEXX,AUTXX,CHEXX,AUT,CHE,100,200,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,"The EMBER dataset includes a column with expected 2040 capacities + projects in permitting, planning and under consideration. We assume that these capacities are commissioned by 2045.",-
TRNAUTXXCZEXX,AUTXX,CZEXX,AUT,CZE,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXDEUXX,AUTXX,DEUXX,AUT,DEU,4000,4000,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXDEUXX,AUTXX,DEUXX,AUT,DEU,100,100,-,-,2030,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXDEUXX,AUTXX,DEUXX,AUT,DEU,2700,2700,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXDEUXX,AUTXX,DEUXX,AUT,DEU,1000,1000,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,"The EMBER dataset includes a column with expected 2040 capacities + projects in permitting, planning and under consideration. We assume that these capacities are commissioned by 2045.",-
TRNAUTXXHUNXX,AUTXX,HUNXX,AUT,HUN,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXITAXX,AUTXX,ITAXX,AUT,ITA,390,390,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXITAXX,AUTXX,ITAXX,AUT,ITA,150,150,-,-,2030,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXITAXX,AUTXX,ITAXX,AUT,ITA,500,500,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXSVKXX,AUTXX,SVKXX,AUT,SVK,500,500,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNAUTXXSVNXX,AUTXX,SVNXX,AUT,SVN,500,500,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,"The EMBER dataset includes a column with expected 2040 capacities + projects in permitting, planning and under consideration. We assume that these capacities are commissioned by 2045.",-
TRNAZEXXGEOXX,AZEXX,GEOXX,AZE,GEO,0,0,-,-,-,https://www.gse.com.ge/sw/static/file/TYNDP_GE-2023-2033_ENG_corr.PDF,-,-,-
TRNAZEXXIRNXX,AZEXX,IRNXX,AZE,IRN,0,0,-,-,-,-,-,-,No information on new planned capacity found.
TRNAZEXXRUSSO,AZEXX,RUSSO,AZE,RUS,0,0,-,-,-,https://www.garant.ru/products/ipo/prime/doc/404487690/,-,-,-
TRNBDIXXCODXX,BDIXX,CODXX,BDI,COD,0,0,-,78,-,https://www.usaid.gov/sites/default/files/2022-05/PA_Transmission_Roadmap_508.pdf,-,"Planned Interconnection - relates to the Ruzizi IV Hydropower Plant, which will feed into the grids of Burundi-DRC-Rwanda by means of 220 kV lines. However, this does not directly integrate the systems of the involved countries. Except for the reported transmission distance, no additional project info exists as of yet.",-
TRNBDIXXRWAXX,BDIXX,RWAXX,BDI,RWA,250,250,220,140.7,2025,https://www.sciencedirect.com/science/article/pii/S097308262030243X#f0005,https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-F00-077,-,-
TRNBDIXXTZAXX,BDIXX,TZAXX,BDI,TZA,0,0,220,180,-,"https://reglobal.org/tanzanian-power-sector-ambitious-targets-set-for-the-coming-decade/#:~:text=Burundi–Tanzania%20Interconnector,estimated%20to%20cost%20USD80%20million.",-,No data on capacities (MW) found.,-
TRNBELXXDEUXX,BELXX,DEUXX,BEL,DEU,1000,1000,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXFRAXX,BELXX,FRAXX,BEL,FRA,1500,1500,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXFRAXX,BELXX,FRAXX,BEL,FRA,1000,1000,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXGBRXX,BELXX,GBRXX,BEL,GBR,1400,1400,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXGBRXX,BELXX,GBRXX,BEL,GBR,1400,1400,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,"The EMBER dataset includes a column with expected 2040 capacities + projects in permitting, planning and under consideration. We assume that these capacities are commissioned by 2045.",-
TRNBELXXLUXXX,BELXX,LUXXX,BEL,LUX,500,500,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXNLDXX,BELXX,NLDXX,BEL,NLD,1000,2000,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBELXXNLDXX,BELXX,NLDXX,BEL,NLD,2000,2000,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBENXXBFAXX,BENXX,BFAXX,BEN,BFA,450,450,330,330,2024,"https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-FA0-146#:~:text=Project%20General%20Description,842%20km%20with%20transformer%20substations.",-,-,-
TRNBENXXGHAXX,BENXX,GHAXX,BEN,GHA,650,650,330,350,-,https://www.au-pida.org/view-project/2006/,-,-,Planned capacity is in reference to the WAPP Coastal Transmission Backbone.
TRNBENXXNERXX,BENXX,NERXX,BEN,NER,450,450,330,-,-,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2018/Nov/IRENA_Planning_West_Africa_2018.pdf,"https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-FA0-146#:~:text=The%20Nigeria%2DBenin%2DNiger%2D,842%20km%20with%20transformer%20substations.",-,-
TRNBENXXNGAXX,BENXX,NGAXX,BEN,NGA,650,650,-,-,-,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2018/Nov/IRENA_Planning_West_Africa_2018.pdf,-,-,-
TRNBENXXTGOXX,BENXX,TGOXX,BEN,TGO,0,0,-,-,-,https://www.au-pida.org/view-project/2006/,-,-,-
TRNBFAXXCIVXX,BFAXX,CIVXX,BFA,CIV,0,0,-,-,-,https://www.ecowapp.org/sites/default/files/wapp_2020-2023_business_plan_0.pdf,-,-,-
TRNBFAXXGHAXX,BFAXX,GHAXX,BFA,GHA,0,0,-,-,-,https://www.eu-africa-infrastructure-tf.net/activities/grants/interconnection-bolgatanga-ouagadougou-ta-afd.htm,-,-,-
TRNBFAXXMLIXX,BFAXX,MLIXX,BFA,MLI,0,0,-,-,-,https://www.ecowapp.org/sites/default/files/wapp_2020-2023_business_plan_0.pdf,-,-,-
TRNBFAXXNERXX,BFAXX,NERXX,BFA,NER,450,450,330,-,2024,https://www.ecowapp.org/sites/default/files/wapp_2020-2023_business_plan_0.pdf,"https://projectsportal.afdb.org/dataportal/VProject/show/P-Z1-FA0-146#:~:text=Project%20General%20Description&text=Two%20double%2Dcircuit%20450%20MW,within%20a%205%20km%20radius.",-,WAPP North Core Project
TRNBFAXXTGOXX,BFAXX,TGOXX,BFA,TGO,374,374,330,-,-,https://www.alliance-sahel.org/en/projects/the-west-african-power-pool-wapp-north-dorsal-project/,https://www.afdb.org/sites/default/files/documents/projects-and-operations/330_kv_wapp_north_core_project_nigeria_-_niger_-_benin_-_burkina_faso_-_pim.pdf,-,In reference to the West African Power Pool North Dorsal project (North Core). Planned Capacity was sourced from ADP source (pg 4).
TRNBGDXXINDEA,BGDXX,INDEA,BGD,IND,0,0,765;765,-,-,https://powermin.gov.in/en/content/interconnection-neighbouring-countries,-,-,A 765 kV Double Circuit transmission project is being reviewed by the respective authorities in Bangladesh and India (Katihar-Parbatipur-Baranagar 765 KV high power interconnection transmission line project) yet as of now this is in early stages. No mentioning of expected transmission capacity in MW terms nor any expected completion year.
TRNBGDXXINDNE,BGDXX,INDNE,BGD,IND,0,0,-,-,-,https://powermin.gov.in/en/content/interconnection-neighbouring-countries,-,-,-
TRNBGDXXMMRXX,BGDXX,MMRXX,BGD,MMR,0,0,-,-,-,https://thedocs.worldbank.org/en/doc/6bd0c527c8469333b119d88cc0b8b410-0070062023/original/In-The-Dark-Power-Sector-Challenges-in-Myanmar-August2023.pdf,-,-,-
TRNBGRXXGRCXX,BGRXX,GRCXX,BGR,GRC,930,600,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBGRXXMKDXX,BGRXX,MKDXX,BGR,MKD,0,0,-,-,-,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBGRXXROUXX,BGRXX,ROUXX,BGR,ROU,600,600,-,-,2025,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBGRXXSRBXX,BGRXX,SRBXX,BGR,SRB,730,186,-,-,2040,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
TRNBGRXXSRBXX,BGRXX,SRBXX,BGR,SRB,490,270,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,"The EMBER dataset includes a column with expected 2040 capacities + projects in permitting, planning and under consideration. We assume that these capacities are commissioned by 2045.",-
TRNBGRXXTURXX,BGRXX,TURXX,BGR,TUR,1100,1100,-,-,2045,https://ember-climate.org/data/data-tools/electricity-interconnection-europe/,https://docs.google.com/spreadsheets/d/1NfuG5KZw0k_W-zo-2orJOZkrr6nv1OeOQZzY61KNS4M/edit?usp=sharing,-,-
